video-frame,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,target
7_2_1_17_30_3_m,0.25507426077927603,0.04343478498882322,0.013364989703099555,0.06784750153508043,-0.013025902562048577,0.01712855796814948,0.01910627633479558,0.01976414184767147,-0.001183503892113734,0.006198460537587031,0.014165742600683111,0.017571893068097044,0.013317910527671607,-0.00655180255134626,-0.0059177768374211156,0.0024620061840972185,0.0019122350348239915,-0.0020515265687399567,-0.0011463079762122066,0.00012643903576542808,-0.002849686459883315,-0.002396940717953549,-0.0003030868365414073,-0.000634777801091453,0.0021199901783217393,-0.0006611182902555606,0.0005762114406813663,0.000516252820620742,0.0006517112564166939,0.0006961021580167866,0.0002768648953364597,-0.0004629132423087442,-0.0002867856084045432,0.0003622045036090559,4.1898367408294236e-05,8.369615776138785e-05,0.00036212546656419085,0.00028703476471542475,7.648221069078464e-06,-0.00015681130777234003,5.1598229545118796e-05,-1.4762013786878096e-05,4.8674663883001546e-05,-0.00013257451676709734,-9.498556997040132e-05,9.242736812447573e-07,-0.00014542549003639435,-6.830016816296647e-05,9.94052881247415e-05,-1.861871907600034e-05,6.954301363435987e-05,-2.5359848478138717e-06,-3.177199785962083e-05,-4.560561439596382e-06,9.67166422420324e-06,-1.4773864562442173e-05,8.179653845353766e-06,1.4593105493431728e-05,-1.7260890182712486e-05,-1.4041047981179578e-05,1.4643704244640497e-05,-2.893062438470284e-05,2.3583455357294436e-06,-1.364493400256614e-05,1.2290967146547306e-05,1.598290656103067e-05,6.761596337753253e-06,-1.644602839804595e-05,-9.717250048192177e-07,-6.615997120251382e-06,1.430495682673429e-06,-1.4999328846807847e-05,3.674866724463353e-06,-5.168887706550732e-06,6.927697948345987e-06,-1.414304006547708e-06,-4.342558286115567e-06,-1.1313549608137886e-06,1.4738809225494271e-07,5.780920150805453e-07,7
7_2_2_11_30_5_m,0.11665578528779588,-0.014563076583316924,0.01547121348048261,0.008321502079362277,0.008552810080655327,0.030010901344064474,-0.010103818319955951,-0.013976729942288763,0.041047447420696395,0.0018540797921413638,0.005769015754325063,-0.007587593910479382,-0.011891516764794673,0.002307327157139763,0.005817067920899804,0.010609319496487517,0.00577943729506402,0.00028972048957555835,-0.005343176525331802,0.003240953851720464,-0.004134996472827662,0.0008459914347760196,-0.0005898201567311642,-0.0002240827707759095,-0.0011722492792724925,0.0005820926142714578,0.0007566811891349435,-0.00021244861055239159,0.00010433161479099464,-0.0004425021054025608,0.0003374712781464323,0.00015713826284847083,-0.00024336632064161747,-7.793037190039826e-05,4.124396149164579e-05,0.000262879099621067,-4.549707811756792e-05,-0.0002753737812235153,2.0219278734774808e-05,0.0002920535114459482,-0.00017158799066640086,-0.00018213384165673802,-0.00012548601747963887,0.00016577377111242681,3.062057827132386e-05,6.483463603807117e-05,0.00013351255846757383,1.5011242633477118e-05,-0.0001234023265609294,4.606134910768561e-05,-9.218769075995431e-05,4.964563433473233e-05,2.9284024181452284e-05,3.2479245368775745e-05,-7.737566467260666e-05,-6.460376457421033e-05,-6.210585340572752e-06,-4.217758698352921e-05,7.988557034292953e-06,-2.7336763322086986e-06,1.5079027654069196e-05,-4.683656100987465e-06,-1.3858578104227251e-05,-1.817280470417119e-05,-3.7845968328886165e-05,-1.798853310352309e-05,-2.273826340718645e-05,3.2676496533732034e-06,5.102961485262032e-06,-3.968429500418955e-06,-1.4255981814523921e-05,2.797697979886911e-06,-1.7777846182705803e-06,2.509453529484922e-05,2.9941690170308806e-05,7.970752898468522e-06,1.7847037648458295e-05,-1.5814279189715318e-06,1.3273331871046442e-05,6.776280578295463e-06,7
7_2_1_17_30_4_m,0.197337085034134,0.032209743791030324,0.0076257558346254474,0.05766474156735903,0.0017682985023211662,0.012692445093778492,0.007975915323211662,-0.006425755624777946,0.0023711094049218835,0.015127587647356973,-0.011928094953109923,-0.004810253806207222,-3.0423546733427337e-05,0.004654042683895194,0.010585489304791708,-0.005160207421520091,-0.004896622053575047,0.0022480583568941265,0.007072686337297838,-0.0007593992815159877,0.006473049679193836,0.004335273831389036,0.0013453130356061405,0.00221491272522326,-0.002204451056881026,-0.002136179386775753,-0.0014031928201330597,-0.00047794687290732697,-0.0009952078793052808,-0.0007853607137199344,0.0007249443121284106,0.001119283990191861,-0.0005748070676046869,0.000495127767406561,0.00017922964705858996,0.0003972154641302921,-0.00011639604374029001,0.000725030797175528,-0.0001874638180711215,-0.0006451706617489866,-0.0002337255659468662,0.000589833363082993,0.0002962571387131049,-0.00019117458571077267,-0.0002125900306936513,-0.00020609454467879638,0.00014426412385569042,-4.860025013950895e-05,0.00015155216360546696,8.894045479257778e-05,-1.929564323939551e-05,-4.830385909822258e-06,1.2365853907673923e-05,-2.804867970748289e-06,6.550060032738647e-05,5.379767131983957e-05,-8.366198295710681e-05,-5.053639783927931e-05,-9.316527438594528e-06,6.070203709907251e-06,-7.25763230741801e-06,-1.3944488110705335e-05,1.4077261613298117e-05,-3.328608408609878e-05,-8.352197635208396e-06,-3.991362643706125e-05,-6.063906386152995e-06,2.8452726759161306e-05,9.367315792493297e-06,-1.3206866038687882e-05,-8.509294090838724e-06,1.3151996004847508e-05,-1.7114213331760255e-06,-1.7640727170694756e-05,-2.0208751331615142e-05,-3.6135907718679607e-06,-6.293072851437722e-06,2.2621417089448448e-05,-2.7748182736371705e-05,-2.166632200554081e-06,7
7_2_1_13_30_3_m,0.08689626760907616,-0.012321050936794238,-0.015130745866717187,0.048431792755352664,-0.006471087701048996,-0.0028381895515604567,0.0025140036235547316,-0.024768008595579972,-0.008406433981674571,0.0016374688219946206,-0.0031404353843789367,-0.013373971505039823,-0.008286670822870768,-0.0012292461949015997,-0.0038027457548865935,-0.0021249756085769665,0.005014603335793248,-0.003998701428721851,0.008463222371607642,-0.003184242076853142,-0.0030382536674660645,-0.0019919719746620095,0.0019321550517907267,0.0028671935327601304,0.005636421462094199,0.004810364338719477,0.0012263025597279479,-0.0002044995021709005,0.002591072326146309,0.0013069674255882476,-0.0009468945676730863,0.00012426336608539163,0.001024841621798817,-0.00043211001202555696,4.526386885550563e-05,-0.0005667942469929506,-0.0003321646736602283,-0.0006390024549417062,-0.00019522353092109624,1.641643426614584e-05,0.00013092658195221205,-4.316200445788159e-05,-0.000227403024582035,-0.0001811703172349068,-0.00022185462514427785,5.7492315522774586e-05,-0.00025184816827089526,0.00024747557930112897,-0.00017479285055771609,-0.0001708403392809493,2.8660014476245737e-05,1.512077598372023e-05,4.785466241612884e-05,5.883364122504613e-06,4.1720260793120755e-05,-8.903050641509257e-05,5.3783543291078246e-05,-4.607634228793664e-05,4.959822327135655e-05,2.6676410113838584e-05,-4.560574438311586e-05,-2.6753222833680466e-05,-4.302016653612623e-05,6.361724283582859e-06,4.701263639793862e-06,7.463357797759973e-05,-8.99996661310295e-06,-3.315604483356344e-05,-2.3770143023810102e-05,-3.203611487841531e-05,7.022487268279337e-06,-5.116013874591113e-06,1.1032794555031382e-06,1.4096367312585706e-05,1.105720841390472e-05,-3.235495528051269e-05,9.446899675676142e-06,-6.137349618250944e-07,3.8801295813853085e-05,1.557912400612136e-06,7
7_2_1_13_30_2_m,0.04112795627113148,-0.018370779108367864,-0.016072903001533006,0.04676812685172498,-0.0036069077647999394,-0.012755780235634498,-0.0014878502026682765,-0.0219632694412663,-0.011358459336137562,-0.013017552011933511,-0.00047203810189269874,-0.00980544294386174,-0.008171610637913926,-0.002506897325254821,-0.006248997503034073,-0.002769402912660308,2.824696811985201e-05,-0.0036399550995741613,-0.007209561861422367,-0.0006186238940899414,-0.0023329030699356713,-0.00013952168291236466,-0.0014765554660897261,-0.002184549062552436,0.00024859637932428245,-0.0011048140136059106,-0.001173292585129639,0.00013169167881697116,-0.0019148739620393923,0.00045534991804577755,0.00246333696761654,-0.00029257345699405205,-0.002035159113833833,0.002748228294168877,0.000857777868756062,0.000513391249785188,0.0005869897894585321,0.001578795015140741,-1.9967108131910652e-05,-0.0009287652158494232,-0.0006510699525108834,0.0007666119083553527,0.000677518475540083,-0.0004020402408685246,-0.00023302686551569284,-0.0002739148325655286,-9.321511484363138e-05,-0.00048598987504515947,0.0004964166994869248,0.00012891785572020066,0.00016264164336061035,4.622226866257466e-05,-3.862913439175425e-05,7.682620850483112e-05,-8.625718958698993e-05,9.993466018534355e-05,-8.835101919582011e-05,2.4575761632681966e-05,-6.555726158990763e-06,1.1734672125488163e-05,3.1997005337751575e-05,-8.534618689958461e-05,1.5329768725829084e-05,-0.0001319954375221394,-2.4298921648563397e-05,-8.869679624761219e-05,-2.2498699871053168e-05,-5.574695181253185e-05,-4.385406666724885e-06,-9.002611815308406e-05,-5.0625792061028335e-05,3.251619638896405e-05,-2.6734455829119894e-06,-6.8045112992414716e-06,4.088564642638875e-05,-7.797994900625607e-06,2.2183513747535945e-05,3.695964822248586e-06,-5.262525050501043e-05,3.918001981868142e-05,7
7_2_1_17_30_2_m,0.110434579973482,0.0004728339738212205,-0.008035451403711712,0.05541794558420074,-0.0044617783672563725,-0.007054333789753705,0.0037718833467555606,-0.010505534270956744,-0.011279560734891135,-0.007044503848615698,-0.0022619382159390082,-0.00380287332667496,-0.0023179733073939,-0.0010518915698663625,-0.0026130505335616922,-0.005713482085054595,-0.0019819580358105683,-0.0008885972608751899,-0.00407758825668413,-0.00010054290131562302,0.00041497668044594195,0.001869005304526719,-0.0012710715055724204,-0.0013482819897468912,-0.001530269797728383,-0.000827527523213361,-8.319444870638585e-05,-0.0002969338751227051,-0.0017280754601586097,-0.001421121709531619,-0.0007250170958868141,0.00033444213696191724,-0.000502276190310559,-0.0010514761437754709,-0.0006144774999199,-9.916206863653862e-05,1.6906552647174836e-05,-0.001474739099073115,0.0013117793514349167,0.0023110596453673068,-0.00031179242194691504,-0.0013405750989442437,-0.0011258070127932868,0.0011850014399265984,0.0012169991933036939,0.00019758076399570713,0.0005881885765908282,7.766309707370071e-05,-0.0003563477893018092,5.545657978706917e-05,-0.00030293654333686813,3.273345099122365e-05,-3.780308370169597e-05,4.4200097779533545e-05,-0.00028883163901349384,0.000146128210140699,8.205908263982022e-05,0.0001326042333030156,-2.8786747387525266e-05,-0.00011421010321029532,-3.2235560949634666e-06,0.0001564911242135565,-0.00012797509431469514,0.00028298637060732536,7.606957055494935e-06,4.531419345395893e-05,1.140347301598971e-05,5.0826363947212195e-05,4.968963281055323e-05,0.0002125808349630416,4.754900432334976e-05,-3.441709892078145e-05,-1.6492844292893378e-05,1.099987522402399e-05,-2.536015031016199e-06,1.9097590718828637e-05,2.136229586432916e-05,-1.2620588864114864e-06,2.3966795156108672e-05,1.8564790357860234e-05,7
7_2_2_18_30_2_m,0.08936755152307492,-0.011654165684775368,-0.005142827165362346,0.04037146892969104,0.003231249021497235,-0.01039133853949735,6.766354000602723e-05,-0.007175235952395773,-0.004086947861769952,-0.00589486205651098,-0.0022089474420077457,-0.0013169706141652232,-0.0022058746681644166,-0.000569784146920411,0.002146835023097943,-0.0009742463927537344,-0.004326808760311867,-0.00027042532379407193,-0.006116710531497604,-0.0009319003184055914,-0.0004821581251383508,-0.0015401353639479766,-0.003163849028104942,-0.0029949073475850807,-0.004197007372441295,0.0007349850625854581,-0.0023891822932981042,0.0008499585478709439,-0.0006012453652387134,0.000110127588878866,-0.0021566816346733977,-0.0009138784740107117,0.0029237231449042718,-0.0025742771740528757,-0.00019983744785972347,-0.0011364250042192375,-0.0010160743479247652,-0.0008175564602419508,-0.0010648578348402174,-0.0009826944002149479,0.001559973948486658,0.00044788921651795583,0.0003551605970359143,-0.000493634921660258,-0.0007949494064785702,9.949716008990666e-05,-0.0005672538894474594,0.00013655977346328338,-0.0002755889875496788,-0.0002562397100445488,0.00014848461670230201,-0.0002114036732388072,6.345328879605076e-05,2.449636701251624e-05,0.0002653481107954691,-9.928164198647532e-05,-1.0351086311484857e-05,-4.5828337075049e-05,2.742305239337919e-06,0.00012517457940992174,7.69061635245455e-05,-9.716952218083754e-06,0.00021627262958589852,-0.00015823370766674782,2.5351741542926884e-05,4.2786361922308895e-05,4.082861739090553e-05,-3.946236540590423e-05,-6.0981067755782414e-05,-5.363413439804785e-05,-9.52721507291049e-06,6.474350328043448e-05,-6.066145487782221e-07,3.212525003095546e-05,2.1858937414843323e-05,1.1184941644760457e-05,-2.9001296191837454e-05,-5.119800525752142e-05,2.7869616484918226e-05,-6.543674176165469e-05,7
7_1_2_9_30_3_m,0.0665440203743931,-0.020948244537777473,-0.010874062856401122,0.026598319370751307,0.011807700780384135,-0.01181444748733252,-0.004736161036539117,0.014881189033776788,-0.009634298778132227,-0.0037039342328441787,-0.00785036796705392,0.0021469348572104707,-0.008833848947023644,0.008410661692683959,-0.004361372415047197,0.003852418991582252,-0.0026891675722603586,0.012330008967648805,-0.0010810456550470974,-0.0002860567149916774,-0.0036807185233516952,0.0019662181432050906,0.0033079342387793025,-0.0005858875484663747,0.0003840351497423568,-0.0006433511175311187,0.0032446458652974435,-0.00010165585321482246,0.0004957468431776466,0.0015576270411979023,-0.000323622734178515,-0.0013806045923580787,0.0006090713659832308,0.0006362286122698837,-0.0006092989948739593,0.00042872104887948544,-0.00010647904022272532,0.0001971657555876816,-0.0004892495694437319,-6.09410407903607e-05,3.65602591438758e-05,-0.0007589593133329227,-0.000560632706460262,-0.00029357938162815494,-7.706258269788791e-05,0.00013564951559366992,0.0002036925579693402,-0.0005970774358368287,-7.129942129654261e-05,7.567694488087726e-05,-8.046142166626349e-07,0.0005775087823316474,-0.0005238190065558042,-3.841891072712296e-05,0.0004353354792282252,-0.00038467248306671165,-0.0001057683202706469,-0.00042031707644107566,9.407050039869126e-05,0.00013176142772605072,-9.541666258515682e-05,5.758745865449417e-06,-0.00018982456543314066,1.6388913239667346e-05,9.49849270499308e-05,-0.00025235605487444366,8.365237525296473e-06,6.964326734268442e-05,2.7424037772090306e-05,-0.0001418336495655516,-6.236268862337711e-05,-2.3413959662094726e-05,2.3673294907526095e-05,-4.709898845636915e-05,-9.396923427145477e-05,2.8050931628537388e-05,-1.7930189112236043e-05,5.240910919015709e-05,1.07730835050436e-05,3.417892993458801e-05,7
7_1_1_15_30_5_m,0.08112577501598296,-0.019139731122751587,-0.00965422745459968,0.004876010544023347,0.01585864548471457,-0.008064881704524334,-0.012463623856907071,0.02519939055790562,0.0013880333506357254,-0.006571393195934441,-0.006448617968835655,-0.0016511677376198817,-0.007943482671192494,0.0010376386990991213,-0.005862226444978185,0.002901604694077823,-0.0022923755757463565,0.0033296967316169424,0.0038768536674014626,0.005191758768042303,0.0024879003576595495,-0.002389825133614074,-0.0029268964089736766,0.0002946960545798469,-0.0003121269464287927,0.0011916337106948809,0.0005081189627780632,-0.00016425488971838874,0.00044977889349859007,-0.0013398332095679467,0.001999371634695686,-0.0014075824512107217,-5.5482361031588734e-05,0.0010540464483333731,-0.0007294042970550403,-0.00015318484248554628,-0.00017896855232298303,-0.0005698954676883165,0.0006687137783201534,-0.00032078722213663114,-4.806164225409137e-05,0.0002770295110521726,0.0004522695279446073,-0.0010263604487495428,0.000453813771300451,0.00034465284860186644,-0.00034616085430114386,0.0005423168244799042,-3.2517123728042616e-05,-0.00035864898670105613,-0.0002903105035652831,-0.0005470296873547771,0.00044098989713143357,-0.00018591341063325836,-0.0004026116060958625,0.0002980512654454213,0.00021591570205976664,0.0006027271135610665,-7.998415979990585e-05,0.00018174126976785751,-0.0001079236717640619,0.00026904253995481663,-3.003780557082166e-05,-5.8034910648535495e-05,-0.0002638049307210372,0.00028647102897523037,-6.464703923694049e-05,-9.51240422768617e-06,-0.00023093684298147675,0.00011114031026604563,0.00014723128507060956,7.619273291384605e-05,0.00010317748583614289,1.7459491437481313e-05,1.0217262228009642e-05,-0.00012660833940214536,7.204822533700723e-06,-0.00014648751666583468,-3.803626372898076e-06,-5.132155408864329e-05,7
7_1_1_10_30_2_m,0.06203483529072084,-0.024091168370468242,0.00735318506157129,0.0016268601761819418,0.012830329052679725,-0.01818756968354833,-0.006571995903801147,0.018126564725977064,0.0049845464856088425,-0.0014900276770852176,-0.005948960055802814,-0.00045298078599270014,-0.004529329167544054,0.004266457898814915,-0.003464958307901587,0.0013163442819712123,0.0006972217456329372,-0.0023504762997047578,0.00024397333177332613,0.002089107090794775,0.0048581855624162075,-0.0021325425738897767,-0.001280429829262572,-0.000341084136619918,0.00045727065235500635,0.0014417998852096782,-0.0006723644589361394,0.000730743784115607,0.0008677784568009911,-7.26907308240821e-05,-0.0003280445485034774,0.0009290475740520468,-0.00046689853922554745,-0.0008449363707068314,0.0016703965395897876,0.00026712895493046776,0.001189124269303501,0.000865567437170259,0.0005872325262628514,-0.00012739979870236032,5.690919380114582e-05,-0.0007709708637317838,1.4009091963045824e-05,0.0007454862157235314,-9.57818678630958e-06,0.0003112853141895273,0.0001570377658321581,0.00047814361447713404,0.00022569169136003043,0.0001672888682375637,0.0008201746358001285,-0.0003273078307165688,0.00010331761765835716,-0.00014791880844138708,-0.00026710708740870353,-0.0002810175237292916,9.150224031344246e-05,-0.00031491883950616356,-8.443040462705857e-05,0.00010209387628792776,0.0004369390433621582,-0.0001840069807809332,0.0002963834635635041,8.690719247892261e-05,0.00022444697952198186,-0.00020515180713814277,-6.427889094637992e-05,1.4345311474759514e-05,4.3541184272046025e-07,0.00011413091643408074,2.6995973201954325e-05,-0.00019160339700897175,-0.00014075390656187074,5.3905798887813494e-05,4.868837173612261e-05,0.0002084379110104154,5.858298843168758e-05,0.00012171953184336947,0.0001487403244157159,5.643140427374976e-05,7
