video-frame,media_orizzontale0,media_verticale0,media_orizzontale1,media_verticale1,media_orizzontale2,media_verticale2,media_orizzontale3,media_verticale3,media_orizzontale4,media_verticale4,media_orizzontale5,media_verticale5,media_orizzontale6,media_verticale6,media_orizzontale7,media_verticale7,media_orizzontale8,media_verticale8,media_orizzontale9,media_verticale9,target
7_1_1_9_25_5_m,-11.760264,-15.160537,-13.46979,4.204267,-21.258978,2.9852846,-8.561082,-21.23442,-19.134575,9.041646,-18.72017,-29.372963,-3.979029,2.2759619,-14.991282,-3.1387908,-6.5069757,-26.097624,-11.410316467285156,-29.90069580078125,7
7_1_1_3_25_1_m,-0.55173576,-2.1120076,-0.7531425,-1.9509237,0.44767863,-1.2752388,-0.36525333,-0.40351623,-1.7633106,0.4811149,-1.0929983,-0.9561592,-3.0660298,1.6954985,-1.1554023,1.0830942,-1.4052193,-0.08043922,-0.3474136292934418,0.36382225155830383,7
7_1_2_8_30_5_m,12.162876,30.124765,7.7711425,35.16477,-0.8687563,20.836481,-3.3096797,16.464916,12.576966,28.624777,15.571227,23.478506,7.805797,25.391941,13.167815,12.796393,15.173402,22.571165,12.47702407836914,6.497710227966309,7
7_1_2_13_30_3_m,-0.15239514,6.290645,-1.2759414,4.5955906,0.40605566,-5.5473714,2.8677807,-2.954901,-0.20866537,-7.3123293,1.5040724,7.560871,1.7295837,6.1520443,-0.4124884,4.161032,0.49029097,6.873258,0.10525510460138321,-4.916502952575684,7
7_2_1_17_30_3_m,13.759974,4.845162,28.20942,13.07481,32.945995,10.189508,16.416779,9.219322,12.455509,13.514119,-1.8854016,26.546225,11.020257,9.984895,12.802064,26.511929,-44.944675,8.143174,-40.110530853271484,15.6526460647583,7
7_2_2_11_30_5_m,-3.335116,-1.5227847,-6.088344,1.484692,-2.6598117,0.9058586,-4.899896,-6.889755,-0.13464755,-3.7708602,-3.053632,0.24256483,1.0919303,-1.8412519,0.80851805,1.6123269,10.62591,-0.87843215,0.3693498373031616,-3.6948540210723877,7
7_2_1_17_30_4_m,-8.726358,-3.9666746,-24.93545,-10.743893,-30.857971,-11.64453,-25.753038,-32.85242,-41.722443,-8.6635475,-20.6145,-4.3139033,-33.5197,-7.5914154,-61.028896,17.540266,-37.893307,4.876622,-38.66038513183594,-1.343761682510376,7
7_2_1_13_30_3_m,4.896553,-0.2257136,12.817054,4.1662254,5.1242905,12.523321,2.089001,0.0051292726,5.5843835,9.126142,8.513066,-6.333447,10.072444,-4.2052193,15.353034,10.501273,10.926243,10.957546,6.750118255615234,9.043789863586426,7
7_2_1_13_30_2_m,25.8736,-19.004107,31.486832,-33.15541,31.479366,-31.407183,8.103424,-20.744318,-0.13725573,-17.503004,4.481384,-13.177908,0.13401678,-0.9640924,3.1951153,3.5935721,2.4829884,2.5371127,0.1563480943441391,0.37377917766571045,7
7_2_1_17_30_2_m,9.787023,-6.578307,25.522528,2.1102836,24.988686,-2.1326573,50.72596,2.5881813,21.873396,0.4409522,6.2986174,-3.7477524,24.230762,33.85996,15.830182,-0.84975106,16.743387,-19.688242,49.98976135253906,1.1824307441711426,7
