Kernel,Smoothing Param,Accuracy,F1-Score,Precision,Recall
Uniform,0.05,12.50%,2.78%,12.50%,12.50%
Uniform,0.1,12.50%,2.81%,12.50%,12.50%
Uniform,0.2,14.37%,7.48%,14.37%,14.37%
Uniform,0.3,20.62%,16.13%,20.62%,20.62%
Uniform,0.5,23.12%,19.10%,23.12%,23.12%
Uniform,0.6,29.38%,21.66%,29.38%,29.38%
Uniform,0.7,26.25%,19.17%,26.25%,26.25%
Uniform,0.8,25.00%,17.48%,25.00%,25.00%
Uniform,1.0,21.25%,15.36%,21.25%,21.25%
Uniform,1.2,16.88%,13.05%,16.88%,16.88%
Triangle,0.05,18.12%,16.00%,18.12%,18.12%
Triangle,0.1,19.38%,16.89%,19.38%,19.38%
Triangle,0.2,25.00%,19.52%,25.00%,25.00%
Triangle,0.3,24.38%,19.38%,24.38%,24.38%
Triangle,0.5,23.12%,17.69%,23.12%,23.12%
Triangle,0.6,23.12%,17.69%,23.12%,23.12%
Triangle,0.7,23.12%,17.69%,23.12%,23.12%
Triangle,0.8,23.12%,17.69%,23.12%,23.12%
Triangle,1.0,23.12%,17.69%,23.12%,23.12%
Triangle,1.2,23.12%,17.69%,23.12%,23.12%
Gaussian,0.05,18.75%,18.09%,18.75%,18.75%
Gaussian,0.1,19.38%,18.61%,19.38%,19.38%
Gaussian,0.2,18.75%,15.91%,18.75%,18.75%
Gaussian,0.3,23.75%,20.16%,23.75%,23.75%
Gaussian,0.5,23.75%,18.77%,23.75%,23.75%
Gaussian,0.6,23.12%,17.78%,23.12%,23.12%
Gaussian,0.7,22.50%,17.10%,22.50%,22.50%
Gaussian,0.8,22.50%,17.21%,22.50%,22.50%
Gaussian,1.0,23.75%,18.46%,23.75%,23.75%
Gaussian,1.2,23.75%,18.38%,23.75%,23.75%
Laplacian,0.05,18.12%,16.00%,18.12%,18.12%
Laplacian,0.1,19.38%,16.89%,19.38%,19.38%
Laplacian,0.2,25.00%,19.52%,25.00%,25.00%
Laplacian,0.3,24.38%,19.38%,24.38%,24.38%
Laplacian,0.5,23.12%,17.69%,23.12%,23.12%
Laplacian,0.6,23.12%,17.69%,23.12%,23.12%
Laplacian,0.7,23.12%,17.69%,23.12%,23.12%
Laplacian,0.8,23.12%,17.69%,23.12%,23.12%
Laplacian,1.0,23.12%,17.69%,23.12%,23.12%
Laplacian,1.2,23.12%,17.69%,23.12%,23.12%
Epanechnikov,0.05,12.50%,2.78%,12.50%,12.50%
Epanechnikov,0.1,12.50%,2.81%,12.50%,12.50%
Epanechnikov,0.2,15.00%,8.04%,15.00%,15.00%
Epanechnikov,0.3,19.38%,15.32%,19.38%,19.38%
Epanechnikov,0.5,18.75%,16.49%,18.75%,18.75%
Epanechnikov,0.6,22.50%,20.44%,22.50%,22.50%
Epanechnikov,0.7,22.50%,20.27%,22.50%,22.50%
Epanechnikov,0.8,24.38%,20.84%,24.38%,24.38%
Epanechnikov,1.0,23.12%,18.43%,23.12%,23.12%
Epanechnikov,1.2,23.12%,18.21%,23.12%,23.12%
