Kernel,Smoothing Param,Accuracy,F1-Score,Precision,Recall
Uniform,0.05,16.25%,12.02%,16.25%,16.25%
Uniform,0.1,21.88%,18.85%,21.88%,21.88%
Uniform,0.2,20.62%,16.62%,20.62%,20.62%
Uniform,0.3,18.12%,13.58%,18.12%,18.12%
Uniform,0.5,6.25%,3.04%,6.25%,6.25%
Uniform,0.6,12.50%,3.91%,12.50%,12.50%
Uniform,0.7,12.50%,2.78%,12.50%,12.50%
Uniform,0.8,12.50%,2.78%,12.50%,12.50%
Uniform,1.0,12.50%,2.78%,12.50%,12.50%
Uniform,1.2,12.50%,2.78%,12.50%,12.50%
Triangle,0.05,30.63%,23.91%,30.63%,30.63%
Triangle,0.1,30.00%,22.26%,30.00%,30.00%
Triangle,0.2,30.00%,22.35%,30.00%,30.00%
Triangle,0.3,30.63%,23.31%,30.63%,30.63%
Triangle,0.5,30.63%,23.44%,30.63%,30.63%
Triangle,0.6,30.63%,23.44%,30.63%,30.63%
Triangle,0.7,30.63%,23.44%,30.63%,30.63%
Triangle,0.8,30.63%,23.44%,30.63%,30.63%
Triangle,1.0,30.63%,23.44%,30.63%,30.63%
Triangle,1.2,30.63%,23.44%,30.63%,30.63%
Gaussian,0.05,28.12%,23.76%,28.12%,28.12%
Gaussian,0.1,30.00%,22.26%,30.00%,30.00%
Gaussian,0.2,30.63%,23.54%,30.63%,30.63%
Gaussian,0.3,30.00%,23.17%,30.00%,30.00%
Gaussian,0.5,29.38%,22.77%,29.38%,29.38%
Gaussian,0.6,29.38%,22.77%,29.38%,29.38%
Gaussian,0.7,29.38%,22.77%,29.38%,29.38%
Gaussian,0.8,29.38%,22.77%,29.38%,29.38%
Gaussian,1.0,29.38%,22.77%,29.38%,29.38%
Gaussian,1.2,29.38%,22.77%,29.38%,29.38%
Laplacian,0.05,30.63%,23.91%,30.63%,30.63%
Laplacian,0.1,30.00%,22.26%,30.00%,30.00%
Laplacian,0.2,30.00%,22.35%,30.00%,30.00%
Laplacian,0.3,30.63%,23.31%,30.63%,30.63%
Laplacian,0.5,30.63%,23.44%,30.63%,30.63%
Laplacian,0.6,30.63%,23.44%,30.63%,30.63%
Laplacian,0.7,30.63%,23.44%,30.63%,30.63%
Laplacian,0.8,30.63%,23.44%,30.63%,30.63%
Laplacian,1.0,30.63%,23.44%,30.63%,30.63%
Laplacian,1.2,30.63%,23.44%,30.63%,30.63%
Epanechnikov,0.05,13.75%,9.20%,13.75%,13.75%
Epanechnikov,0.1,24.38%,21.33%,24.38%,24.38%
Epanechnikov,0.2,31.87%,23.59%,31.87%,31.87%
Epanechnikov,0.3,30.00%,22.57%,30.00%,30.00%
Epanechnikov,0.5,29.38%,22.77%,29.38%,29.38%
Epanechnikov,0.6,29.38%,22.77%,29.38%,29.38%
Epanechnikov,0.7,29.38%,22.77%,29.38%,29.38%
Epanechnikov,0.8,29.38%,22.77%,29.38%,29.38%
Epanechnikov,1.0,29.38%,22.77%,29.38%,29.38%
Epanechnikov,1.2,29.38%,22.77%,29.38%,29.38%
