Kernel,Smoothing Param,Accuracy,F1-Score,Precision,Recall,frame_number
Uniform,0.05,12.50%,2.78%,12.50%,12.50%,100
Uniform,0.1,14.37%,5.77%,14.37%,14.37%,100
Uniform,0.2,15.62%,11.31%,15.62%,15.62%,100
Uniform,0.3,20.00%,16.14%,20.00%,20.00%,100
Uniform,0.5,21.88%,13.46%,21.88%,21.88%,100
Uniform,0.6,19.38%,14.99%,19.38%,19.38%,100
Uniform,0.7,15.00%,12.24%,15.00%,15.00%,100
Uniform,0.8,22.50%,16.62%,22.50%,22.50%,100
Uniform,1.0,21.25%,11.68%,21.25%,21.25%,100
Uniform,1.2,15.62%,8.84%,15.62%,15.62%,100
Triangle,0.05,16.88%,13.67%,16.88%,16.88%,100
Triangle,0.1,21.88%,15.34%,21.88%,21.88%,100
Triangle,0.2,24.38%,16.09%,24.38%,24.38%,100
Triangle,0.3,23.75%,15.33%,23.75%,23.75%,100
Triangle,0.5,23.75%,15.40%,23.75%,23.75%,100
Triangle,0.6,23.75%,15.53%,23.75%,23.75%,100
Triangle,0.7,24.38%,15.79%,24.38%,24.38%,100
Triangle,0.8,23.75%,14.89%,23.75%,23.75%,100
Triangle,1.0,23.75%,14.47%,23.75%,23.75%,100
Triangle,1.2,23.75%,14.44%,23.75%,23.75%,100
Gaussian,0.05,11.88%,10.51%,11.88%,11.88%,100
Gaussian,0.1,17.50%,13.92%,17.50%,17.50%,100
Gaussian,0.2,22.50%,15.16%,22.50%,22.50%,100
Gaussian,0.3,23.12%,15.00%,23.12%,23.12%,100
Gaussian,0.5,23.12%,13.71%,23.12%,23.12%,100
Gaussian,0.6,23.12%,13.20%,23.12%,23.12%,100
Gaussian,0.7,23.12%,13.17%,23.12%,23.12%,100
Gaussian,0.8,23.12%,13.17%,23.12%,23.12%,100
Gaussian,1.0,22.50%,12.68%,22.50%,22.50%,100
Gaussian,1.2,22.50%,12.68%,22.50%,22.50%,100
Laplacian,0.05,16.88%,13.67%,16.88%,16.88%,100
Laplacian,0.1,21.88%,15.34%,21.88%,21.88%,100
Laplacian,0.2,24.38%,16.09%,24.38%,24.38%,100
Laplacian,0.3,23.75%,15.33%,23.75%,23.75%,100
Laplacian,0.5,23.75%,15.40%,23.75%,23.75%,100
Laplacian,0.6,23.75%,15.53%,23.75%,23.75%,100
Laplacian,0.7,24.38%,15.79%,24.38%,24.38%,100
Laplacian,0.8,23.75%,14.89%,23.75%,23.75%,100
Laplacian,1.0,23.75%,14.47%,23.75%,23.75%,100
Laplacian,1.2,23.75%,14.44%,23.75%,23.75%,100
Epanechnikov,0.05,12.50%,2.78%,12.50%,12.50%,100
Epanechnikov,0.1,14.37%,5.77%,14.37%,14.37%,100
Epanechnikov,0.2,15.00%,10.50%,15.00%,15.00%,100
Epanechnikov,0.3,16.25%,11.98%,16.25%,16.25%,100
Epanechnikov,0.5,23.75%,18.07%,23.75%,23.75%,100
Epanechnikov,0.6,25.62%,18.17%,25.62%,25.62%,100
Epanechnikov,0.7,21.88%,12.31%,21.88%,21.88%,100
Epanechnikov,0.8,21.25%,11.30%,21.25%,21.25%,100
Epanechnikov,1.0,21.88%,12.16%,21.88%,21.88%,100
Epanechnikov,1.2,22.50%,12.69%,22.50%,22.50%,100
