Kernel,Smoothing Param,Accuracy,F1-Score,Precision,Recall
Uniform,0.05,12.50%,2.78%,12.50%,12.50%
Uniform,0.1,12.50%,2.78%,12.50%,12.50%
Uniform,0.2,12.50%,2.78%,12.50%,12.50%
Uniform,0.3,12.50%,2.78%,12.50%,12.50%
Uniform,0.5,12.50%,2.78%,12.50%,12.50%
Uniform,0.6,12.50%,2.78%,12.50%,12.50%
Uniform,0.7,12.50%,2.78%,12.50%,12.50%
Uniform,0.8,12.50%,2.78%,12.50%,12.50%
Uniform,1.0,12.50%,2.78%,12.50%,12.50%
Uniform,1.2,12.50%,2.78%,12.50%,12.50%
Triangle,0.05,26.88%,16.47%,26.88%,26.88%
Triangle,0.1,26.88%,16.47%,26.88%,26.88%
Triangle,0.2,26.88%,16.47%,26.88%,26.88%
Triangle,0.3,26.88%,16.47%,26.88%,26.88%
Triangle,0.5,26.88%,16.47%,26.88%,26.88%
Triangle,0.6,26.88%,16.47%,26.88%,26.88%
Triangle,0.7,26.88%,16.47%,26.88%,26.88%
Triangle,0.8,26.88%,16.47%,26.88%,26.88%
Triangle,1.0,26.88%,16.47%,26.88%,26.88%
Triangle,1.2,26.88%,16.47%,26.88%,26.88%
Gaussian,0.05,26.25%,16.16%,26.25%,26.25%
Gaussian,0.1,26.25%,16.16%,26.25%,26.25%
Gaussian,0.2,26.25%,16.16%,26.25%,26.25%
Gaussian,0.3,26.25%,16.16%,26.25%,26.25%
Gaussian,0.5,26.25%,16.16%,26.25%,26.25%
Gaussian,0.6,26.25%,16.16%,26.25%,26.25%
Gaussian,0.7,26.25%,16.16%,26.25%,26.25%
Gaussian,0.8,26.25%,16.16%,26.25%,26.25%
Gaussian,1.0,26.25%,16.16%,26.25%,26.25%
Gaussian,1.2,26.25%,16.16%,26.25%,26.25%
Laplacian,0.05,26.88%,16.47%,26.88%,26.88%
Laplacian,0.1,26.88%,16.47%,26.88%,26.88%
Laplacian,0.2,26.88%,16.47%,26.88%,26.88%
Laplacian,0.3,26.88%,16.47%,26.88%,26.88%
Laplacian,0.5,26.88%,16.47%,26.88%,26.88%
Laplacian,0.6,26.88%,16.47%,26.88%,26.88%
Laplacian,0.7,26.88%,16.47%,26.88%,26.88%
Laplacian,0.8,26.88%,16.47%,26.88%,26.88%
Laplacian,1.0,26.88%,16.47%,26.88%,26.88%
Laplacian,1.2,26.88%,16.47%,26.88%,26.88%
Epanechnikov,0.05,26.25%,16.16%,26.25%,26.25%
Epanechnikov,0.1,26.25%,16.16%,26.25%,26.25%
Epanechnikov,0.2,26.25%,16.16%,26.25%,26.25%
Epanechnikov,0.3,26.25%,16.16%,26.25%,26.25%
Epanechnikov,0.5,26.25%,16.16%,26.25%,26.25%
Epanechnikov,0.6,26.25%,16.16%,26.25%,26.25%
Epanechnikov,0.7,26.25%,16.16%,26.25%,26.25%
Epanechnikov,0.8,26.25%,16.16%,26.25%,26.25%
Epanechnikov,1.0,26.25%,16.16%,26.25%,26.25%
Epanechnikov,1.2,26.25%,16.16%,26.25%,26.25%
