Kernel,Smoothing Param,Accuracy,F1-Score,Precision,Recall
Uniform,0.05,16.25%,14.26%,16.25%,16.25%
Uniform,0.1,23.12%,19.39%,23.12%,23.12%
Uniform,0.2,16.25%,10.26%,16.25%,16.25%
Uniform,0.3,23.75%,17.93%,23.75%,23.75%
Uniform,0.5,6.25%,2.92%,6.25%,6.25%
Uniform,0.6,11.88%,3.57%,11.88%,11.88%
Uniform,0.7,12.50%,2.78%,12.50%,12.50%
Uniform,0.8,12.50%,2.78%,12.50%,12.50%
Uniform,1.0,12.50%,2.78%,12.50%,12.50%
Uniform,1.2,12.50%,2.78%,12.50%,12.50%
Triangle,0.05,28.75%,22.57%,28.75%,28.75%
Triangle,0.1,28.75%,21.60%,28.75%,28.75%
Triangle,0.2,28.75%,21.77%,28.75%,28.75%
Triangle,0.3,26.88%,19.95%,26.88%,26.88%
Triangle,0.5,26.25%,19.42%,26.25%,26.25%
Triangle,0.6,26.25%,19.42%,26.25%,26.25%
Triangle,0.7,25.62%,18.86%,25.62%,25.62%
Triangle,0.8,25.62%,18.96%,25.62%,25.62%
Triangle,1.0,25.62%,18.96%,25.62%,25.62%
Triangle,1.2,25.62%,18.96%,25.62%,25.62%
Gaussian,0.05,25.62%,21.83%,25.62%,25.62%
Gaussian,0.1,27.50%,19.92%,27.50%,27.50%
Gaussian,0.2,25.00%,18.57%,25.00%,25.00%
Gaussian,0.3,26.25%,19.78%,26.25%,26.25%
Gaussian,0.5,25.00%,18.82%,25.00%,25.00%
Gaussian,0.6,24.38%,18.49%,24.38%,24.38%
Gaussian,0.7,24.38%,18.49%,24.38%,24.38%
Gaussian,0.8,24.38%,18.49%,24.38%,24.38%
Gaussian,1.0,24.38%,18.49%,24.38%,24.38%
Gaussian,1.2,24.38%,18.49%,24.38%,24.38%
Laplacian,0.05,28.75%,22.57%,28.75%,28.75%
Laplacian,0.1,28.75%,21.60%,28.75%,28.75%
Laplacian,0.2,28.75%,21.77%,28.75%,28.75%
Laplacian,0.3,26.88%,19.95%,26.88%,26.88%
Laplacian,0.5,26.25%,19.42%,26.25%,26.25%
Laplacian,0.6,26.25%,19.42%,26.25%,26.25%
Laplacian,0.7,25.62%,18.86%,25.62%,25.62%
Laplacian,0.8,25.62%,18.96%,25.62%,25.62%
Laplacian,1.0,25.62%,18.96%,25.62%,25.62%
Laplacian,1.2,25.62%,18.96%,25.62%,25.62%
Epanechnikov,0.05,16.88%,15.63%,16.88%,16.88%
Epanechnikov,0.1,24.38%,21.45%,24.38%,24.38%
Epanechnikov,0.2,27.50%,19.84%,27.50%,27.50%
Epanechnikov,0.3,26.25%,19.37%,26.25%,26.25%
Epanechnikov,0.5,24.38%,18.49%,24.38%,24.38%
Epanechnikov,0.6,24.38%,18.49%,24.38%,24.38%
Epanechnikov,0.7,24.38%,18.49%,24.38%,24.38%
Epanechnikov,0.8,24.38%,18.49%,24.38%,24.38%
Epanechnikov,1.0,24.38%,18.49%,24.38%,24.38%
Epanechnikov,1.2,24.38%,18.49%,24.38%,24.38%
