Kernel,Smoothing Param,Accuracy,F1-Score,Precision,Recall
Uniform,0.05,12.50%,2.78%,12.50%,12.50%
Uniform,0.1,12.50%,2.78%,12.50%,12.50%
Uniform,0.2,17.50%,11.24%,17.50%,17.50%
Uniform,0.3,15.00%,12.64%,15.00%,15.00%
Uniform,0.5,26.25%,21.08%,26.25%,26.25%
Uniform,0.6,12.50%,9.40%,12.50%,12.50%
Uniform,0.7,8.75%,6.95%,8.75%,8.75%
Uniform,0.8,23.75%,16.26%,23.75%,23.75%
Uniform,1.0,20.00%,15.36%,20.00%,20.00%
Uniform,1.2,6.88%,4.16%,6.88%,6.88%
Triangle,0.05,24.38%,20.20%,24.38%,24.38%
Triangle,0.1,30.63%,23.81%,30.63%,30.63%
Triangle,0.2,31.87%,25.11%,31.87%,31.87%
Triangle,0.3,31.87%,25.11%,31.87%,31.87%
Triangle,0.5,31.87%,25.62%,31.87%,31.87%
Triangle,0.6,31.87%,25.62%,31.87%,31.87%
Triangle,0.7,31.87%,25.62%,31.87%,31.87%
Triangle,0.8,31.87%,25.58%,31.87%,31.87%
Triangle,1.0,31.87%,25.58%,31.87%,31.87%
Triangle,1.2,31.87%,25.58%,31.87%,31.87%
Gaussian,0.05,20.00%,17.84%,20.00%,20.00%
Gaussian,0.1,23.75%,21.40%,23.75%,23.75%
Gaussian,0.2,31.87%,24.55%,31.87%,31.87%
Gaussian,0.3,30.63%,23.94%,30.63%,30.63%
Gaussian,0.5,31.25%,25.03%,31.25%,31.25%
Gaussian,0.6,30.63%,24.51%,30.63%,30.63%
Gaussian,0.7,30.63%,24.48%,30.63%,30.63%
Gaussian,0.8,31.25%,24.82%,31.25%,31.25%
Gaussian,1.0,29.38%,23.67%,29.38%,29.38%
Gaussian,1.2,28.12%,22.62%,28.12%,28.12%
Epanechnikov,0.05,12.50%,2.78%,12.50%,12.50%
Epanechnikov,0.1,12.50%,2.78%,12.50%,12.50%
Epanechnikov,0.2,16.25%,9.81%,16.25%,16.25%
Epanechnikov,0.3,16.25%,13.19%,16.25%,16.25%
Epanechnikov,0.5,30.00%,23.73%,30.00%,30.00%
Epanechnikov,0.6,31.87%,24.91%,31.87%,31.87%
Epanechnikov,0.7,29.38%,23.02%,29.38%,29.38%
Epanechnikov,0.8,28.75%,21.79%,28.75%,28.75%
Epanechnikov,1.0,27.50%,22.20%,27.50%,27.50%
Epanechnikov,1.2,26.88%,21.78%,26.88%,26.88%
Laplacian,0.05,24.38%,20.20%,24.38%,24.38%
Laplacian,0.1,30.63%,23.81%,30.63%,30.63%
Laplacian,0.2,31.87%,25.11%,31.87%,31.87%
Laplacian,0.3,31.87%,25.11%,31.87%,31.87%
Laplacian,0.5,31.87%,25.62%,31.87%,31.87%
Laplacian,0.6,31.87%,25.62%,31.87%,31.87%
Laplacian,0.7,31.87%,25.62%,31.87%,31.87%
Laplacian,0.8,31.87%,25.58%,31.87%,31.87%
Laplacian,1.0,31.87%,25.58%,31.87%,31.87%
Laplacian,1.2,31.87%,25.58%,31.87%,31.87%
Epanechnikov,0.05,12.50%,2.78%,12.50%,12.50%
Epanechnikov,0.1,12.50%,2.78%,12.50%,12.50%
Epanechnikov,0.2,16.25%,9.81%,16.25%,16.25%
Epanechnikov,0.3,16.25%,13.19%,16.25%,16.25%
Epanechnikov,0.5,30.00%,23.73%,30.00%,30.00%
Epanechnikov,0.6,31.87%,24.91%,31.87%,31.87%
Epanechnikov,0.7,29.38%,23.02%,29.38%,29.38%
Epanechnikov,0.8,28.75%,21.79%,28.75%,28.75%
Epanechnikov,1.0,27.50%,22.20%,27.50%,27.50%
Epanechnikov,1.2,26.88%,21.78%,26.88%,26.88%
